id,meaning_id,example
6940,10,"- Это тяжелая, очень тяжелая, работа на камне."
6941,15,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
6942,23,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
6943,34,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
6944,34,"- Это тяжелая, очень тяжелая, работа на камне."
6945,34,"- Мама придёт с работы, у нас уже чугунок картофеля сварен с кожурой."
6946,34,"Кто-то на работу, кто-то в школу, кто-то куда."
6947,91,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
6948,91,"Кто-то на работу, кто-то в школу, кто-то куда."
6949,111,"- Мама придёт с работы, у нас уже чугунок картофеля сварен с кожурой."
6950,113,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
6951,115,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
6952,115,"Кто-то на работу, кто-то в школу, кто-то куда."
6953,116,"Во-первых хлеба не было, карточная система тогда была, во-вторых нам помогать некому было, папы у нас не было."
6954,116,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
6955,159,"Во-первых хлеба не было, карточная система тогда была, во-вторых нам помогать некому было, папы у нас не было."
6956,201,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
6957,212,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
6958,212,"- Мама придёт с работы, да всё это сделано."
6959,323,"- После войны жизнь была очень тяжелая, очень плохо."
6960,341,"- Это тяжелая, очень тяжелая, работа на камне."
6961,341,"- Это тяжелая, очень тяжелая, работа на камне."
6962,412,"- После войны жизнь была очень тяжелая, очень плохо."
6963,461,"- Мама придёт с работы, да всё это сделано."
6964,505,"Кто-то на работу, кто-то в школу, кто-то куда."
6965,522,"- После войны жизнь была очень тяжелая, очень плохо."
6966,569,"- Это тяжелая, очень тяжелая, работа на камне."
6967,927,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
6968,999,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
6969,999,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
6970,1043,"- Это тяжелая, очень тяжелая, работа на камне."
6971,1049,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
6972,1093,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
6973,1093,"Кто-то на работу, кто-то в школу, кто-то куда."
6974,1100,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
6975,1181,"- Мама придёт с работы, да всё это сделано."
6976,1261,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
6977,1295,"Ну вот, потом едим и пьём, и спать, и снова такой-же второй день."
6978,1300,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
6979,1313,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
6980,1443,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
6981,1443,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
6982,1469,"Кто-то на работу, кто-то в школу, кто-то куда."
6983,1480,"на ломку поступила, на ломку."
6984,1480,"- Это тяжелая работа была очень."
6985,1604,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
6986,1604,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
6987,1604,"- Это тяжелая, очень тяжелая, работа на камне."
6988,1604,"- Это тяжелая, очень тяжелая, работа на камне."
6989,1649,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
6990,1730,"Во-первых хлеба не было, карточная система тогда была, во-вторых нам помогать некому было, папы у нас не было."
6991,1730,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
6992,1730,"- А мама где работала?"
6993,1730,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
6994,1730,"- Мама придёт с работы, да всё это сделано."
6995,1737,"- Мама придёт с работы, у нас уже чугунок картофеля сварен с кожурой."
6996,1790,"- После войны жизнь была очень тяжелая, очень плохо."
6997,1790,"Во-первых хлеба не было, карточная система тогда была, во-вторых нам помогать некому было, папы у нас не было."
6998,1790,"Во-первых хлеба не было, карточная система тогда была, во-вторых нам помогать некому было, папы у нас не было."
6999,1790,"Во-первых хлеба не было, карточная система тогда была, во-вторых нам помогать некому было, папы у нас не было."
7000,1790,"Во-первых хлеба не было, карточная система тогда была, во-вторых нам помогать некому было, папы у нас не было."
7001,1790,"- Мама работала у нас..."
7002,1790,"на ломку поступила, на ломку."
7003,1790,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7004,1790,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7005,1790,"- Мама придёт с работы, да всё это сделано."
7006,1808,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
7007,1808,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
7008,1813,"- Это тяжелая, очень тяжелая, работа на камне."
7009,1828,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
7010,1828,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7011,1828,"- Мама придёт с работы, у нас уже чугунок картофеля сварен с кожурой."
7012,1929,"Кто-то на работу, кто-то в школу, кто-то куда."
7013,1946,"Во-первых хлеба не было, карточная система тогда была, во-вторых нам помогать некому было, папы у нас не было."
7014,2011,"- Это тяжелая, очень тяжелая, работа на камне."
7015,2011,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7016,2011,"Ну вот, а пока придёт, и мы с братом уже лежанку затопили уже, самовар уже вскипятили, чтобы был кипяток, чугунок картофеля был сварен сразу."
7017,2011,"- Мама придёт с работы, да всё это сделано."
7018,2066,"Ну вот, а пока придёт, и мы с братом уже лежанку затопили уже, самовар уже вскипятили, чтобы был кипяток, чугунок картофеля был сварен сразу."
7019,2227,"- Мама придёт с работы, у нас уже чугунок картофеля сварен с кожурой."
7020,2301,"- Мама придёт с работы, у нас уже чугунок картофеля сварен с кожурой."
7021,2331,"на ломку поступила, на ломку."
7022,2331,"Ну вот, а пока придёт, и мы с братом уже лежанку затопили уже, самовар уже вскипятили, чтобы был кипяток, чугунок картофеля был сварен сразу."
7023,2331,"- Мама придёт с работы, да всё это сделано."
7024,2331,"Ну вот, потом едим и пьём, и спать, и снова такой-же второй день."
7025,2352,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
7026,2352,"- А мама где работала?"
7027,2475,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7028,2519,"- Это тяжелая, очень тяжелая, работа на камне."
7029,2593,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
7030,2604,"Ну вот, потом едим и пьём, и спать, и снова такой-же второй день."
7031,2618,"- Мама придёт с работы, у нас уже чугунок картофеля сварен с кожурой."
7032,23873,"Во-первых хлеба не было, карточная система тогда была, во-вторых нам помогать некому было, папы у нас не было."
7033,23873,"Во-первых хлеба не было, карточная система тогда была, во-вторых нам помогать некому было, папы у нас не было."
7034,23873,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
7035,23873,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
7036,24324,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
7037,24742,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7038,25084,"- После войны жизнь была очень тяжелая, очень плохо."
7039,25084,"- После войны жизнь была очень тяжелая, очень плохо."
7040,25085,"- Это тяжелая, очень тяжелая, работа на камне."
7041,25923,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
7042,25923,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
7043,25923,"Кто-то на работу, кто-то в школу, кто-то куда."
7044,25952,"Кто-то на работу, кто-то в школу, кто-то куда."
7045,28861,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7046,28861,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7047,28861,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7048,30646,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
7049,31804,"Ну вот, а пока придёт, и мы с братом уже лежанку затопили уже, самовар уже вскипятили, чтобы был кипяток, чугунок картофеля был сварен сразу."
7050,34145,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7051,35969,"Кто-то на работу, кто-то в школу, кто-то куда."
7052,38118,"- Мама придёт с работы, у нас уже чугунок картофеля сварен с кожурой."
7053,38531,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7054,41750,"- Это тяжелая работа была очень."
7055,45727,"Во-первых хлеба не было, карточная система тогда была, во-вторых нам помогать некому было, папы у нас не было."
7056,49326,"- Мама придёт с работы, у нас уже чугунок картофеля сварен с кожурой."
7057,49452,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
7058,49714,"- Мама придёт с работы, у нас уже чугунок картофеля сварен с кожурой."
7059,53377,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7060,53377,"- Мама придёт с работы, да всё это сделано."
7061,53712,"Во-первых хлеба не было, карточная система тогда была, во-вторых нам помогать некому было, папы у нас не было."
7062,59048,"- Это тяжелая, очень тяжелая, работа на камне."
7063,59048,"- Это тяжелая, очень тяжелая, работа на камне."
7064,59330,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
7065,77769,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
7066,77769,"- Это тяжелая, очень тяжелая, работа на камне."
7067,77769,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7068,77769,"- Мама придёт с работы, у нас уже чугунок картофеля сварен с кожурой."
7069,79561,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
7070,79561,"- А мама где работала?"
7071,79561,"Ну вот, а пока придёт, и мы с братом уже лежанку затопили уже, самовар уже вскипятили, чтобы был кипяток, чугунок картофеля был сварен сразу."
7072,79561,"- Мама придёт с работы, да всё это сделано."
7073,79592,"- Это тяжелая, очень тяжелая, работа на камне."
7074,79623,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7075,79988,"- Это тяжелая, очень тяжелая, работа на камне."
7076,82538,"- После войны жизнь была очень тяжелая, очень плохо."
7077,82542,"- После войны жизнь была очень тяжелая, очень плохо."
7078,82542,"на ломку поступила, на ломку."
7079,82542,"- Это тяжелая работа была очень."
7080,82542,"- Это тяжелая работа была очень."
7081,82543,"Во-первых хлеба не было, карточная система тогда была, во-вторых нам помогать некому было, папы у нас не было."
7082,82544,"- Мама работала у нас..."
7083,82544,"- Мама работала у нас..."
7084,82545,"это сейчас едь хоть на чём, а тогда нельзя было ехать, пешком не пойдёшь из города."
7085,82545,"- Это тяжелая, очень тяжелая, работа на камне."
7086,82546,"- Это тяжелая, очень тяжелая, работа на камне."
7087,82548,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7088,82549,"Брат старший дома не жил, в Шёлтозере учился пятый и шестой класс и поехал в город учиться, ну вот, так что мы его даже..."
7089,82549,"Кто-то на работу, кто-то в школу, кто-то куда."
7090,82550,"- Мама придёт с работы, у нас уже чугунок картофеля сварен с кожурой."
7091,82551,"Ну вот, потом едим и пьём, и спать, и снова такой-же второй день."
7092,82551,"Ну вот, потом едим и пьём, и спать, и снова такой-же второй день."
7093,82551,"Ну вот, потом едим и пьём, и спать, и снова такой-же второй день."
7094,82552,"Но вот утром рано уходит, рано очень уходит утром и приходит оттуда уставшая уже пешком, семь километров нужно было идти."
7095,82552,"- Мама придёт с работы, да всё это сделано."
7096,34,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7097,34,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7098,34,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7099,34,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7100,34,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7101,34,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7102,34,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7103,34,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7104,63,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7105,115,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7106,128,"Если было бы на русском, на кириллице, я это понимаю."
7107,173,"- На вепсском пишу, но мало мало."
7108,173,"- На вепсском пишу, но мало мало."
7109,502,"- А вот на вепсском языке вы пишете?"
7110,502,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7111,502,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7112,886,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7113,1007,"- А вот на вепсском языке вы пишете?"
7114,1007,"- На вепсском пишу, но мало мало."
7115,1007,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7116,1073,"- А вот на вепсском языке вы пишете?"
7117,1244,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7118,1656,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7119,1656,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7120,1656,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7121,1656,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7122,1656,"Если было бы на русском, на кириллице, я это понимаю."
7123,1669,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7124,1730,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7125,1730,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7126,1730,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7127,1730,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7128,1790,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7129,1790,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7130,1813,"- На вепсском пишу, но мало мало."
7131,1828,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7132,1907,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7133,1923,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7134,1923,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7135,1923,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7136,1923,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7137,1923,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7138,1930,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7139,1967,"- А вот на вепсском языке вы пишете?"
7140,2043,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7141,2082,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7142,2082,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7143,2181,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7144,2227,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7145,2480,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7146,2604,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7147,2604,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7148,23873,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7149,23873,"И потом я поехал в Санкт-Петербург и не говорил на вепсском языке, и я (не могу) красиво говорить."
7150,23873,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7151,23873,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7152,23873,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7153,23873,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7154,25661,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7155,25906,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7156,25923,"- А вот на вепсском языке вы пишете?"
7157,25923,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7158,25952,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7159,25952,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7160,30646,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7161,49452,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7162,49452,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7163,57797,"- На вепсском пишу, но мало мало."
7164,57797,"Ну это так получилось, нам не разрешали говорить на нашем языке и в школе нас ругали, не разрешали говорить на вепсском языке, будем наказывать, и мы только говорили, писали мало."
7165,57797,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7166,77769,"- А вот на вепсском языке вы пишете?"
7167,79568,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7168,81607,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7169,82343,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7170,82343,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7171,82344,"Я пишу на кириллице больше, на латинице ещё не умею, и газету когда беру, Кодима, и говорю: А я не понимаю буквы, не знаю этот алфавит на латинице, я был четыре года в школе и этих букв не знаю."
7172,82401,"Если было бы на русском, на кириллице, я это понимаю."
7173,2,"Ну и что-то по дому делаю потихоньку, смотри, потихоньку дома хожу, чего-то делаю, да."
7174,2,"Да грядок немного посадила."
7175,2,"Ну да, смотри, воды нужно носить много."
7176,2,"Ну да, смотри, воды нужно носить много."
7177,2,"Вот по 12 да пар компанией собирались."
7178,2,"У нас корова была, и телята, и овцы, и свиней иногда держали да."
